,main_post,reply_post,fold,label
1830,"يا عزيزي: الحزب بدو يدبر طريقة استيراد البنزين من إيران..

المهم تنحل الأزمة ويتوقف إذلال اللبنانيين…

بيدبرها بالدولار أو باللبناني، بالبطيخ أو بالبلوط، إنت شو هامَّك؟

عراية ستي الله يرحمها: ""متل واحد مربي دقنه والتاني تعبان عنه فيها"".

#رياض_ومافيا_الإحتكار",<USER> سؤال ليش بتردو على جعير كم جعجي قصدي كم كلب هلق الحزب يلي يعد من اقوى جيوش الشرق الاوسط رح يوقف عند جعير كن واحد اكيد لا,0,Neutral
1831,الامارات تهنىء رئيس الحكومة الإسرائيلية الجديدة نفتالي بينيت <link>,<USER> نأمل أن يكون النفتالين فعالاً في تنفيذ ما صنع له وأن لايكون مغشوشاً <link>,4,Neutral
1832,عشرات المفقودين في غزة منذ أنتهاء العدوان الحمساوي الاخير على اسرائيل,<USER> و يفتخرون بتحقيق النصر بكل وقاحة,3,Neutral
1833,بالأمس احتفل العالم باليوم العالمي لمكافحة #عمل_الأطفال، في محاولة لتسليط الضوء على هذه الظاهرة ومدى قساوتها على #الطفولة متى يعي العالم أن تربية الأطفال على ثقافة الإرهاب هي أشد خطورة وقسوة عليهم، ثقافة #حماس #وحزب_الله! وهنا نطالب بيوم لتجنيب الأطفال هذه الثقافة الإجرامية <link>,<USER> لاحول ولا قوة الا بالله,2,Neutral
1834,"طبيعي كتير يلي بيدفع 16مليون لكانديس ما يقدر يدفع لإختو حقوقها.
وطبيعي كمان يلّي بيعطي جمعية وهمية أكتر من مليون دولار ما يعطي اختو مصريّاتها.
وأكتر شي واضح وطبيعي انو يلّي غدر بيلي برم العالم ليردّو عبلدو نهار يلّي توقّف برّا يغدر بإختو.
يلّي مش طبيعي انو نجيبو نعملو رئيس حكومة.",<USER> <USER> يعطيكم لبدكم يا بالحكومة بتكلفو وبتحلفو بإسمو بتصيرو وبتعملو من الشرفاء. انتو الوحيدين ما فيكم تصنفو الناس لانو يلي مشي معكم بكون إدامي ويلي ضدكم بصير تلقائيا ازعر,3,Negative
1835,لم تكن هناك حاجة لبيان الرئيس بري للادراك بأن ثمة من لم يغفر بعد لاستعادة الحضور والدور بعد سنين التنكيل والاقصاء منذ العام 1990 حتى العام 2005,"<USER> ما غلّط يلي قلّك : ""وحدك على وعدك بتضل"" 
كلنا معك لاستعادة بلدنا ، كلنا ثقة فيك. منموت وما منركع.",4,Positive
1836,الرئيس عون: من المستحيل الاستمرار في استقبال العدد الضخم من النازحين السوريين وعلى المجتمع الدولي والأمم المتحدة العمل على اعادتهم الى قراهم في سوريا التي باتت آمنة,<USER> الله يقهركن و يفرجيكن يوم بأولادكم و أحفادكم و تنذلوا كلكن يعني كلكن واحد واحد على قد ما عم تعملوا بهالشعب المعتّر و كل واحد لاحقكن و عم يطبلكن انشالله بيلحقكن .. عزراييل يقشكن كلكن سوا .. بحق كل ام و بي انقهروا ما معن يطعموا اولادهم .. و كل حدا خسر ولد و قريب بانفجار المرفأ آمين,1,Negative
1837,"#السعودية
* الدولة استخدمت اسلوب ""الصدمة"" في
 إحداث التغيرات الاجتماعية والاقتصادية
 التي طال انتظارها،
فلماذا لا تستخدم نفس الطريقة في سعودة
 الوظائف، التي هي الأهم أمنيا واجتماعيا
 واقتصاديا، تفرض فرضا لا رجعة فيها،
 حتي وأن احدثت ارتباكا مؤقتا في سوق
 العمل |",<USER> مع الإحترام لك أستاذ جمال لكن التغيير بالصدمة والإصلاح الذي واكب ذلك كان منتظر منذ سنوات هرمنا ونحن ننتظر ذلك وأعتقد سوق العمل لايتحمل تغيير بالصدمة مماثلة لما حصل لربما أحدث هزة في الإقتصاد,2,Neutral
1838,طالما ناسنا صامدون، نحنا صامدون؛ انا لا استسلم الاّ اذا اراد الناس الذين نمثّلهم هذا الامر، وانا اريد ان يعرفوا انّ كلفة الاستسلام اليوم ستكون كبيرة غدا؛ وما نخسره اليوم قد لا نقدر ان نستعيده غدا,<USER> انت مصدق حالك او عمتضحك عالناس,2,Negative
1839,الكويت والاردن ولبنان على كف عفريت,<USER> اما الكيان الصهيوني الوهمي فهو مهدد بالزوال في اي لحظة لان الكيان غير شرعي,4,Neutral
1840,إنها لمأساة يتسبب بها رئيس الجمهورية ورئيس حكومة تصريف الأعمال بتركهما الناس معلقين بين السماء والأرض، لا يعرفون ماذا يحدث او ماذا سيكون غدهم. هم لا يعرفون إذا كان البنزين مؤمنا والمازوت متوفرا أم لا؟ولا يعرفون ما مصير الأدوية التي هم بحاجة إليها وما إذا كانت مؤمنة ام غير موجودة؟,"<USER> دكتور سمير جعجع،
مع فائق الود والاحترام،
لو تكرمتم وساهمتم بتسمية وزيرين مسيحيين لكنتم سحبتم البساط من تحت اقدام سعد الحريري وجبران باسيل ولكنتم نزعتم الحجج الواهية التي يتذرعون بها ،ولكن ايضا الحسابات الشخصية تحول دون مساهمتكم في مساعدة الشعب في التغلب على انانية السلطة وازلامها",2,Neutral
1841,"خبّرنا شو عملت بالقانون الارثوذوكسي ؟ وشو رأيك بالتدقيق الجنائي ؟ دخلك ليش ما زعجك السيد حسن لما كلف الرئيس بري يتوسط بين الرئيس عون و رئيس الحكومة المكلف؟
اذا ما عندك جواب...استعين بصديق...
شو..؟ ما في عندك صديق؟",<USER> في عندو لكن على نفس شاكلته لذلك لن نسمع سوى الثرثرة والكلام الفارغ كالمعتاد. ولكن للحقيقة إذا أنت مهتمه بعلم الذرة والإلكترون ما إلك إلا هذا النضوة.,0,Neutral
1842,"نبيه بري وابن الحريري يعملان لإبقاء المسيحيين في لبنان مواطنين درجة ثانية.
جعجع والجميّل وفرنجية يتصارعون على لقب أبطال الدرجة الثانية.
وحده ميشال عون وتياره يخوضان #معركة_وجود",<USER> مش صحيح الاسلام و المسيحيين بي لبنان بكملو بعض و ما في فرق بيناتن انت عم تحكي كلام طائفي,2,Negative
1843,هل القضية الفلسطينية خسرت من اهميتها على اثر المتاجرة بها ونكران جميل  اصحابها؟,<USER> لم خسرت ولن تخسر لانها ليست قضية فلسطينية فقط وانما قضية عقيدة  لكل مسلم حر,0,Neutral
1844,الرئيس عون تابع الاجراءات التي اتخذت لمعالجة ازمة المحروقات والادوية والمستلزمات الطبية وحليب الاطفال، حيث دعا الاجهزة والادارات المختصة الى التشدد في ملاحقة المحتكرين ومستغلي الاوضاع الراهنة لرفع الاسعار وتحقيق ارباح غير مشروعة,<USER> 😂 😂😂 😂  تابع. 🙈 والله العظيم  كيف الكن عين تصرحوا بعد,2,Negative
1845,رئيس الأركان الجنرال أفيف كوخافي: ما كان قبل عملية #حارس_الأسوار لن يكن من حيث ردة الفعل ومن حيث التعامل مع حماس. في عملية حارس الأسوار استهدفنا يوميًا أهدافًا  ثلاثة أضعاف ما استهدفناه بالعمليات السابقة. <link>,<USER> كيف لا و أنتم تقصفون مواطنين عزل. تعالو للجزائر و إقصفونا إن كانت لديكم الشجاعة 🤪,2,Neutral
1846,"شعاراتهم عن""المناصفة"" كذب، شعاراتهم عن""المشاركة"" كذب، شعاراتهم عن""الميثاقية"" كذب! 
#سقط_القناع",<USER> لماذا المناصفة؟ هل هذه هي الديموقراطية؟ انتم تقبلون بنظام طائفي و عليكم أن تتحملوا تبعاته,0,Neutral
1847,"على دعسات أجدادنا من أجل صون إرث أرض #إسرائيل وحضارتها 
ويد بيد من أجل الحفاظ على سيادة هذا الوطن ومجده سر #شعب_إسرائيل_الحي <link>",<USER> الشعب الصهيوني جبان وجيشه جبان والدليل المقاومة,1,Negative
1848,#فتاة_الحسكة قتلها ذووها بدم بارد قيل لرفضها الزواج بابن عمها! هل سمعتم يوماً في العالم العربي بقتل شاب لأنه رفض الزواج؟! لم نسمع لأن المشكلة هي في نظرة الاستضعاف لوجود المرأة المحكوم عليها في بعض المجتمعات أن تكون رهينة مزاج الجاهلية الأولى التي عادت بيد العنصريين القتلة كهؤلاء!,<USER> بعد في جاهلين كتير يا عزيزتي,3,Positive
1849,"بموضوع #مصطفى_علوش والمرا بدي قول شغلة:
سعد الحريري إذا رجع أنا فالل...",<USER> لا هو راجع ولا انت فالل 😂,1,Neutral
1850,"على دعسات أجدادنا من أجل صون إرث أرض #إسرائيل وحضارتها 
ويد بيد من أجل الحفاظ على سيادة هذا الوطن ومجده سر #شعب_إسرائيل_الحي <link>","<USER> وتحسبهم جميعا و قلوبهم شتى !! 
ارض مو أرضكم ، و ستكون مقبرة لكم .",2,Negative
1851,الرئيس عون تابع اجراءات المجلس الأعلى للدفاع لاسيما في ما خص الوضع في المطار وطلب من المسؤولين وجوب تسهيل وصول المسافرين,"<USER> شو حاكم البلد بمجلس  الدفاع  ؟؟

يعني ما في وزارات، دولة، هيأة، نواب  يحاسبوا، قضاء...

كلوا  مجلس  الدفاع  ؟

الله ياخذك بشي  ٤ أب يا  رب",2,Negative
1852,إجتماع بعبدا درس اقتراحات لمعالجة أزمة المحروقات وتفادي حصول اي مضاعفات سلبيّة تنعكس على الإستقرار الأمني والمعيشي في البلاد,<USER> ليش تركت استقرار حضرتك. حرقت دينو للبلد,2,Negative
1853,"يا أستاذ جعجع انو اذا كتير سئلان عأموال المودعين ليش ما فتحت تمك لما انشال ملايين من امام المحتاجين لتمويل المحكمة الدولية، وليه ما حكيت لما كانت تندعم الليرة ليبقى سعر الصرف ثابت؟ نوابك أيمتى اعترضوا عالسرقة والنهب بالمجالس والصناديق؟ 
وقف معاركك الشعبوية الفاشلة!",<USER> يا ريتكن ما قتلتو للحريري ما كنا دفعنا مصاري,3,Negative
1854,يا أهلنا المنتشرين، انتو روحنا وأملنا، وانتو جزء من الشعب اللبناني المناضل والصامد. الكم بتسهل كل التضحيات – وما منقبل حدا يحرمكم من صوتكم وحقّكم.,<USER> ولا اي تضحيات؟ شو عملت غير انك سرقت مصريات المنتشرين انت و المنظومة الفاسدة,3,Negative
1855,نهنيء الجمارك على ضبط شحنة الكبتاغون ونطالب الأجهزة الأمنية التعاطي مع ملف التهريب إلى الدول العربية وخاصة الخليجية بأنه أمن قومي وأمن إجتماعي لبناني .,<USER> كيف وجهتهم الى السعوديه وممنوع التصدير من لبنان خلصنا كذب,2,Negative
1856,الرئيس عون تلقى برقية من الملك سلمان بن عبد العزيز شكره فيها على تهنئته بعيد الفطر المبارك، مقدّرا المشاعر الطيبة التي عبّر عنها رئيس الجمهورية في برقية التهنئة، كذلك تلقى الرئيس عون برقية مماثلة من امير قطر الشيخ تميم بن حمد آل ثاني تمنى له فيها الصحة والعافية وللبنان الإزدهار,<USER> قديش مش معبرك الملك سلمان حتى رد عليك بعد شهرين 😂,1,Negative
1857,كأن البيان الصادر عن الرئيس بري أراد ان يؤكد ما بات مؤكداً بأن الهدف الحقيقي للحملات التي يتعرض لها رئيس الجمهورية هو تعطيل دوره في تكوين السلطة التنفيذية ومراقبة عملها مع السلطة التشريعية، واقصاؤه بالفعل حيناً، وبالقول احياناً، عن تحمل المسؤوليات التي القاها الدستور على عاتقه,<USER> بتعرف ليش يا عون عشان ما تكشفون هن وعم يسرقوا 😄😜,4,Neutral
1858,الرئيس عون اتصل بوزير الداخلية والبلديات العميد محمد فهمي وعدد من القادة الأمنيين وطلب اليهم مساعدة الأجهزة الإدارية المعنية في منع تخزين المحروقات ووضعها بتصرف المواطنين والتشدد في تطبيق القوانين مع المخالفين الى حين تراجع الأزمة خلال ال 48 ساعة المقبلة,<USER> حضر البيجاما، يمكن تضطر تستعملها بالهريبة خلال هال ٤٨ ساعة #عهد_الذل,0,Negative
1859,فقدان أبي مبكراً وأنا في عمر صغير ربما هي أكبر نغصةٍ أعيشها كل يوم 😢. فتحيتي لكلِ أبٍ يحمل منذ ولادة طفله الأول هم أولاده ويقضي عمره في خدمتهم .هذه لذة الحياة وبدونها  لا قيمة لشيء لا السلطة ولا المال .,<USER> الله يرحم روحو ويبقيك يا صاحب الحسنات المخفية,2,Positive
1860,"في كتب التاريخ قرأنا عن #لقمان_الحكيم، ولم نقرأ، لا في التاريخ الماضي ولا في الحاضر، عن #سمير_الحكيم.
ربما يذكر المستقبل سمير ""الحكيم"" ، لكن من بوابة #القتلة والمجرمين وليس الحكماء.
سيقول التاريخ إن جزارا سكن معراب كان سفاحا في الحرب الاهلية، وفي زمن السلم نصيرا لمن يحاصر لبنان.",<USER> استاذ خليل انت و <USER> و <USER> رجال سيذكرها التاريخ و البعض معكم اقتصر الذكر هنا لانني اتباعكم بشغف...و الله بعينكن عالمسبات و الشتائم يلي عم تتلقوها ببرودة اعصاب نيلكن على هيك وعي #نفخر_بكم❤❤❤,1,Positive
1861,"شخص آخر، يذكّر بأن رئيس الجمهورية ليس عنده لا صوت بمجلس الوزراء ولا كلمة باختيار رئيس الحكومة، ولا يجب ان يكون عنده اي وزير! اي ان رئيس البلاد ""صورة على الحيط... ومنكسّرها وقت بيلزم""...",<USER> وليش بدك تعمل رئيس جمهوريه ؟؟؟وليش الرئيس عون ما بيترك هل شغلة كلها وبلا كل هل بهدلة ؟؟؟,2,Negative
1862,شو رح تعمل اذا لا سمح الله وعملت رئيس جمهورية لبنان!؟ ما سمعت صوتك لما نقلك ما فيك تسمي ولا وزير !؟  #سقط_القناع,<USER> زي ما انت عملت لما الجنرال قلوا هيك للرئيس سليمان . ذاكر ولا بذكرك,4,Negative
1863,لدينا مغتربين رائعين يساعدون لبنان الذي لا يساعده حكامه لكن المغتربين يقومون بدور رائع مع أهلهم وبلدهم رغم نهب الدولة لودائعهم . لكن نعدهم بإستعادة لبنان من يد العصابة . الأمر لن يطول كثيراً رغم إشتداد الأزمة.,<USER> ما حضرتك يللي كنت السبت الماضي عم تنسّق مع العصابة ، أو شو ؟,0,Negative
1864,المسيحي تهمَّش من ال ٩٠ لل ٢٠٠٥…بعدها بلَّش بإستعادة شراكة مسلوبة وحقوق مأكولة…اليوم المنطقة جايي على تسوية…البعض تعَوَّد إنّو التسويات تكون على حساب المسيحي…لكن هالمرة لأ…كرمال هيك في حدا جنّ جنونو ونزل شخصياً على الملعب…عمل فَوْل دستوري…وكشف عن حقيقة يلّي ضامرو من سنين…,<USER> ولك يسلملي علمانية التيار,4,Neutral
1865,"كتب معهد #جيت_ستون،

""ادعاء #حماس بأنها ""انتصرت"" في الحرب
 الأخيرة مع إسرائيل أصبح موضع سخرية
 واستهزاء من قبل العديد من العرب الذين
 لا يخشون من وصف الجماعة الإرهابية
 المدعومة من #إيران بالكذب على
 الفلسطينيين وبقية العالم"".

<USER> <link>","<USER> <USER> هذا ممثل حركة حماس في السعودية واحتجزه آل سعود بتهمة الإرهاب

لم يحظى هذا الإجرام بإدانة حزب الإصلاح بل قام الحزب بإدانة حماس التي عبرت عن شكرها لانصارالله الذين أبدوا استعدادهم للافراج عن أسرى سعوديين مقابل افراج المملكة عن أسرى حماس <link>",2,Neutral
1866,"حدا ناسي المحادل الانتخابية والغاء مناطق و تذويبها و فرض قرار و خيار عليها من ١٩٩٢  عليها. حدا ناسي هودي يللي بيحكو بالاعتدال و هني قمة الطائفية و التعصب ونواياهم بالغائنا تعلن ليل نهار.
سقوط جدار القسطنطينية تهديد مباشر لذات الناس بوجه ذات الناس و استقواء و عنصرية#لبنان مش الك",<USER> انت شخصيا بتتعاطى 💉 احقاد ...يا اسود والله انقبروا بيخلص العهد الخرا وبيرتاح لبنان من زمرة الهبل هيدي,1,Negative
1867,في اعلاميين حقودين لدرجة بتشعر أنهم مزعوجين لأن المغتربين نازلين علبنان فيا أفاعي الغدر انتو لازم تفلّو والمغتربين يرجعو !  #نازل_ع_لبنان,<USER> يا مغتربين لبنان رجعوا رجعوا الوطن عم يبكي وما في حدا بيفهم موجعوا يا مغتربين رحلتو من سنين بس البلد مش ناسيين  يا مغتربين رجعوا بعد الزعماء ناقصهم شوية مصاري حتى ينهبوهم رجعوا والله حتى يشفطوكم شفط ويرجعوكم مفلسين,4,Neutral
1868,لدينا مغتربين رائعين يساعدون لبنان الذي لا يساعده حكامه لكن المغتربين يقومون بدور رائع مع أهلهم وبلدهم رغم نهب الدولة لودائعهم . لكن نعدهم بإستعادة لبنان من يد العصابة . الأمر لن يطول كثيراً رغم إشتداد الأزمة.,<USER> قلتلي لن يطول كثيراً مش هيك؟؟ ألله يسمع منك، بس أي شخص عندو شوية وعي و معرفة بالإقتصاد بيعرف إنو إذا الليلة تشكلت حكومة و أخذت الثقة و بلشت شغل بكرا الصبح، البلد بدو سنين و سنين ليرجع يوقف على إجريه🙄مش متشائم بس هيذا هوي الواقع,4,Negative
1869,لا أعرف كيف تتجرأ أحزاب السلطة على خوض معركة في نقابة المهندسين وآلاف المهندسين عاطلين عن العمل بسبب سياستهم . والناس في صفوف الذل . وكلهم غائبون عن أية مبادرة للإنقاذ. أمام هذا الواقع يصبح فوز المنتفضين طبيعياً . فمبروك للفائزين.,<USER> يا زلمي، انت تويت مع الثورة بيرجع تويت مع السلطة ... قرّر,1,Negative
1870,لشو هل الحركات المنظمة،انو يعني مش عارفين من وراها و كيف بتمشي و بتتحرك و بأمر من مين،انو حدا غافل عنو كيف بيقطع البنزين و المازوت و المولد و التاكسي و الرغيف  و الدولار و التهريب و التحويل و قضاء الشحار و التعتير.. ما غلطنا بحقك و لا نهار بس وقف تاذكي شي نهار #بلكي على العيد..,"<USER> مش حضرتكون بالسلطة حاليا""؟!  ما تستغرب لأنو ما راح تفرج غير ما تخرب على راسكون، ما بتفهموا غير بهالاسلوب",1,Negative
1871,الرئيس عون: اللبنانيون ينظرون بكثير من الأمل الى لقاء الأول من تموز في الفاتيكان مقدرين الدور الذي يلعبه البابا فرنسيس لدعم لبنان,<USER> عن أي لبنانيين عم تحكي؟ شخصياً ما عندي أمل إلا انو ياخدكن لهونيك لعندو، بس للأسف مستحيل تصير,4,Neutral
1872,وجود المسيحيين في لبنان مرتبط بدورهم فاذا انتفى الدور انتفى الوجود؛ تعاطي الفاتيكان معهم بأقل من ذلك يصيبهم بأضرار بالغة أقلها هجرتهم الكاملة؛ دور الفاتيكان محوري ومعنوي، هم ليسوا بحاجة لمن يفرض وجودههم بل للاعتراف بدورهم؛ الكرسي الرسولي قادر على استنهاض قوتهم فيطمئنون إلى غدهمGB,<USER> شو دين امو جنون العظمة الي ضاربك؟,1,Negative
1873,هل يجرؤ صيصان الثورة على التوجه الى منزل وزير المال غازي وزني برّي والإعتداء على سيارته كما فعلوا بسيارة وزير الإقتصاد راوول نعمة؟ (يمكن صيصان جعجع، لأن طلعوا هني الثورة 😂😂) <link>,<USER> و اك عيب هليك بعدك عم تهاجم ادأضعف ليش إنت بتسترجي تنزل تثله لأبو خشبة إنّه بلطجي؟ أو بتسترجي تنزل عند وفيق صفى أو أحمد الحريري تحكيلهم نتو كذابين؟ ما فيك يا زمك,2,Negative
1874,"أيها البعيد!

تُرى كيف يكونُ الحضور؟

بما أنكَ دائماً القريب؟!.

قريبٌ بلطفكَ..

لا تعرفكَ الأبصار.",<USER> السلام عليك يا صاحب الزمان #ادركنا🙏🏻,0,Positive
1875,لا شك ان #تركيا كثير مرعوبة  من العلاقات الاسرائيلية المغربية 😂 وتريد الاسثمار الاسرائيلي فقط في أراضيها <link>,"<USER> اسمع يا ولد مائير ابن سلحون الم...!
مالك شغل في تركيا والمغرب وغيرها  .
خلك في فضايحكم الداخلية يا وغد",4,Negative
1876,"شاركوا ليعرف العالم كله حقيقة #حماس: فتحة نفق تم كشفها في ساحة لمدرسة تابعة للاونروا في غزة بعد أن أصاب صاروخ إسرائيلي أسفلت الساحة ليكشف الفتحة بعمق 7 - 8 أمتار.
هكذا تستخدم حماس أطفال غزة كدروع بشرية. الأونروا سبق أدانت هذا الفعل فأتحدى #الجزيرة وأزلامها ان كانوا يغطون الموضوع <link>","<USER> فين النفق ؟؟
تستهدفون مدرسة أطفال وتكذبون !!",0,Negative
1877,أيها الفاجر ما تفَكّر المهذب يعني جبان كل ما في بالأمر انّو المهذب ما بينزل لمستواك🙂,<USER> إنت كبير إستاذ جو 👏,4,Positive
1878,رقصة ل #اللقاء من نوال 💃 <link>,<USER> هيك لقاء بدو هيك رقصة 😂😂😂,0,Neutral
1879,"دواعش حماس كعادتهم يعتبرون الأطفال أداة لخدمة أغراضهم الإرهابية الخبيثة وهذا الصيف أيضا ستقيم حماس مخيمات صيفية للأطفال بغزة حيث سيتم تدريبهم على السلاح تمهيدا لتجنيدهم لتنفيذ عمليات انتحارية وإرهابية.

هذه هي جريمة حرب بحق الأطفال المساكين ويجب على كل عربي صاحب ضمير أن يدينها. <link>","<USER> وهؤلاء ماذا يفعلون يلعبون بباربي يا لكع

نسأل الله أن يبارك في ابنائنا وأن يمكننا من ظهوركم <link>",0,Negative
1880,"صدق او لا تصدق
يافطات شكر  وبالعبرية لمنظمة صهيونية في شوارع غزة .
تحيا المقاووووووومة <link>",<USER> بدهاش تزبط المصاري لا جديد الغدر في عروقهم,2,Neutral
1881,ان شاء الله يخلصوا الفلسطينيين من محمود عباس، بيكونوا خلصوا من نصف الاحتلال وبيضل النصف الآخر المتمثل باليهود,"<USER> ادعي للشعب اللبناني منكون ممنونينك نحنا 😂🤲🏻. 
بركِ بيتحرر لبنان و فلسطين من هالطبقه المرته 🤷🏻‍♂️",4,Neutral
1882,"يعيش السيد جعجع في العقدة النفسية نفسها التي ترافقه منذ الثمانينات حتى اليوم، من بشير الى حبيقة وفرنجية وشمعون وغيرهم من الشخصيات المسيحية التي حاربها وهو اليوم لا يزال يتبع نفس النهج مع الرئيس عون
#رح_نبقى_سوا
<USER>",<USER> <USER> <USER> خلاصنا من هالنغمة عندكم نغمة جديدة بعدك بالماضي صرنا ب ،2021 الوووووو ليش عم تنكشوا الماضي ما رح تعملو شعبيه الا اذا تحررتوا من الزعماء انتم نواي الأمه ما حدا بيقدر يأخد منك التفويض خليك مع اهلك بلد كله كفى حكي لا بيودي ولا بيجيب,2,Negative
1883,نحنا بدّنا لبنان دولة حق بيوثق فيها شعبها وبيحترمها العالم، دولة مدنية تحمي التنوّع بنظام لا مركزيّة ادارية ومالية موسّعة... دولة تنلغى فيها الطائفية ومش الطائفية السياسية بس. دولة يكون نظامها هو ضمانة استقرارها ومش مشروع خضة او حرب كل كم سنة.,<USER> روح نام يا كر قرفنا منك ومن كذبك,0,Negative
1884,"شيخة قطرية تدعى مريم آل الثاني كذبتني وزعمت بانه لا توجد اي سفارة او مكتب اسرائيلي في الدوحة.
<USER>
من تصدقون؟؟",<USER> <USER> الكذاب  انت ومعروف من زمان,4,Negative
1885,الدويلة العربية الوحيدة التي إمتعضت من الهبة الشعبية لإنتخاب الرئيس الأسد هي القرية القطرية وهذا ما يجعل هذه الدويلة المخربة في الأمة معزولة بموقفها وأصبحت كناية عن صندوق للمال يدفع لمصلحة الإخوان وأردوغان . قطر مشيخة تخريب ويجب عزلها عربياً.,<USER> مش صحيح كلامك استاذ وئام وهاب انت توهن الجمهور ان الامارات والسعودية ظرفاء ... انتبه ستخسر جمهور كبير يدافع عن الحق بشراسة و لا يحب التزلف والمصالح والطعن في الظهر.,3,Negative
1886,"ناشط سعودي يعتذر من الفلسطينيين: "" لم اجلدكم كفاية اليوم"". عجبتني <link>",<USER> لا تعطوا هذا ( الناشط  ) وجه ولا تعلقوا عنده فهو لا يستحق الإهتمام 😌 و الله كفيل بحسابه في الدنيا قبل الأخره 🤲,3,Neutral
1887,مرحبًا بك صديقنا في أرض السلام <link>,<USER> قال ارض السلام قال.. اصلا عمرك عشت يوم في إسرائيل بدون قتل او دمار هههههه.. كل شيء يقوله ادرعي عكس تماماً.. قال سلام قال 😴😴,1,Negative
1888,الرئيس عون ابرق الى كل من الرئيس العراقي ورئيس الوزراء شاكراً لهما قرار الحكومة بمضاعفة كمية النفط التي أقرتها للبنان من 500 ألف طن إلى مليون طن سنوياً,<USER> قديش في منن لمعلمك اللي بدك تكون جندي زحاف بجيشه,4,Negative
1889,"#سمير_جعجع: أهلنا بالتمانينات أودعوا مبالغ مالية كبيرة بالصندوق الوطني لميليشياتك عبر خوّات البنزين والعقارات والمطاعم الخ..
فينا نعرف وين هالأموال؟ اشتريت فين سلاح ؟ أوك ورجعت بعتو لهالسلاح..
ممكن تردّلنا مصريات أهلنا؟ إذا لا، ما تجيب سيرة أموال المودعين اليوم 😊.","<USER> استاذ شربل يمكن يكون معك حق بس ليش دايما مركز هجومك ع الدكتور جعجع..يعني بالبلد ما في فساد الا بالقوات
#جست _اسكينغ 😁",3,Neutral
1890,"رغم ان الموقف من حركة امل او حزب الله يدخل في نطاق ""حرية رأي المغرد"" إلّا أن من يعتبر نفسه يحب احد الاطراف عليه ان يدرس كلامه وينقّح تغريداته تماشياً مع ما تقرره قيادة الطرفين في هذا الشأن
بيان اليوم بخصوص السوشيل ميديا هو تأكيد على وحدة الصف وتوصية بضرورة الابتعاد عن الخلاف",<USER> يا علي .. ليش تارك كل هالحسابات الوهمية عندك ؟؟؟ معظمهم باسيلي محط يدخل بحساب باسماء ك حسين وحسن وزينب يوحي انه بالحزب ليهاجم حركة أمل واؤكد لك انهم باسيليون حاقدون ... لما عنده صورة ، احطلوا .,3,Neutral
1891,إتحاد برّي العام، جمعية المصاري المقروطة ، تيار المَص-تَربَل، ومن لفّ لفيفهم، يدعون للإضراب العام غدا احتجاجا على شحّ النهب، وخوفاً من انقطاعه تماما اذا أقرّ #التدقيق_المالي_الجنائي,<USER> شكلك ياعرص رح يتصيدوك جماعه برى ويظبطوك.   هول ما بينمزح معهم,3,Negative
1892,"المرأة الحديديه أشجع إمرأة في الخليج تتحدى الاخونج وتقول مجددا :"" انا مع التطبيع وغالبية الشعب الكويتي يريد التطبيع"". هذا هو وجه كويت الجميل.
<USER> <link>","<USER> مافي احد بالكويت يبي يطبع مع الصهاينة ، اخذو الصهاينة العرب ( القلة القليلة ) عندكم اهم صهاينة اكثر منكم

لو تسأل كل كويتي الغالبية العظمى راح تتأكد ان حظر و بدو و خوان و سلف و ليبرال و مسيح بكل طوائفهم يتمنون زوال الصهاينة قريبا و هذى ما وعد به ربي ان شاء الله و نحن مؤمنين",4,Neutral
1893,"هل يرضى الشيعة بالتنازل عن حقيبة المالية؟ لماذا إذاً يُطلب منا التنازل عن حق المسيحيين؟ ولم لا تتم تسميتهم من المجتمع المدني؟ وما كان يمر مرور الكرام ""بإيام الوالد"" لن يمر في عهد الرئيس ميشال عون
<USER>",<USER> <USER> أنت تاجر أوهام يا غسان معلمك باع الحقوق بأجر كرسي,4,Negative
1894,"تخطئ السعودية في التقدير.
أخطأوا التقدير في سوريا ودفعوا الثمن.
وفي اليمن أخطأوا وكابروا وهم يدفعون الثمن.
وفي #لبنان، أخطأوا، وها هو سفيرهم يتسول زوارا في خيمة.
وأخطأوا التقدير قبل الانتخابات الاميركية وغطوا #التطبيع.
والآن، يخطئون التقدير مع #حماس والفلسطينيين وسيدفعون الثمن.","<USER> <USER> الان بعد خيانتكم لاصحاب الأيادي البيضاء العرب اهل الكرم والشهامة
ابدلكم الله بحضن إيران
والله يزيدكم ذل وهوان وفقر",3,Negative
1895,كلام في الصميم <link>,<USER> فلسطين اصلا ساقطه ومحتله من اقبح خلق الله اليهود والفلسطينيين هم من باعو اراضيهم وهم ليسو عرب هم احفاد الصليبيين العربي ارضه مثل عرضه.,3,Neutral
1896,جيل فلسطيني آخر يضيع مستقبله للإرهاب. هذه الصور التقطت أمس في معسكر تدريب حمساوي للأطفال في قطاع غزة. <link>,<USER> جيل ورا جيل ... إحنا مابنخلصش,0,Neutral
